timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673274049431,394,trendyolSearch,200,OK,Thread Group 1-25,text,true,,61863,530,17,17,https://www.trendyol.com/sr?q=telefon&qt=telefon&st=telefon&os=1,359,0,0
1673274048246,1624,trendyolChoose,200,OK,Thread Group 1-35,text,true,,58330,645,17,17,https://www.trendyol.com/rise-and-shine/dogal-kabak-lifli-princ-ozlu-sabun-p-435041174?boutiqueId=61&merchantId=181950&boutiqueId=614790&merchantId=968,414,0,0
1673274049563,330,trendyolSearch,200,OK,Thread Group 1-39,text,true,,66062,533,17,17,https://www.trendyol.com/sr?q=aksesuar&qt=aksesuar&st=aksesuar&os=1,306,0,0
1673274049024,888,trendyolMainPage,200,OK,Thread Group 1-21,text,true,,62120,435,17,17,https://www.trendyol.com/,457,0,0
1673274049413,539,trendyolSearch,200,OK,Thread Group 1-9,text,true,,59718,539,17,17,https://www.trendyol.com/sr?q=evtekstili&qt=evtekstili&st=evtekstili&os=1,316,0,0
1673274049580,548,trendyolSearch,200,OK,Thread Group 1-16,text,true,,64177,527,17,17,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,342,0,0
1673274049187,959,trendyolChoose,200,OK,Thread Group 1-44,text,true,,60070,680,17,17,https://www.trendyol.com/ozdilek/mickey-mouse-enjoy-disney-lisansli-cocuk-havlu-bornoz-seti-kirmizi-7-8-yas-p-109917953?boutiqueId=615869&merchantId=4593&boutiqueId=614790&merchantId=968,444,0,0
1673274049836,386,trendyolChoose,200,OK,Thread Group 1-25,text,true,,61555,636,16,16,https://www.trendyol.com/tecno/spark-9t-4-128gb-turkiye-garantili-p-378572696?boutiqueId=61&merchantId=628292&boutiqueId=614790&merchantId=968,336,0,0
1673274049381,835,trendyolSearch,200,OK,Thread Group 1-48,text,true,,59719,539,16,16,https://www.trendyol.com/sr?q=evtekstili&qt=evtekstili&st=evtekstili&os=1,439,0,0
1673274049907,328,trendyolChoose,200,OK,Thread Group 1-39,text,true,,57889,683,15,15,https://www.trendyol.com/mutlubidunya/vintage-yuvarlak-model-100-adet-isiltili-yuz-ve-vucut-tasi-sticker-tas-p-312724934?boutiqueId=618579&merchantId=415082&boutiqueId=614790&merchantId=968,286,0,0
1673274049259,989,trendyolSearch,200,OK,Thread Group 1-6,text,true,,67291,533,14,14,https://www.trendyol.com/sr?q=kozmetik&qt=kozmetik&st=kozmetik&os=1,394,0,0
1673274049359,905,trendyolSearch,200,OK,Thread Group 1-11,text,true,,64176,539,14,14,https://www.trendyol.com/sr?q=bilgisayar&qt=bilgisayar&st=bilgisayar&os=1,442,0,0
1673274049484,788,trendyolChoose,200,OK,Thread Group 1-41,text,true,,57952,654,14,14,https://www.trendyol.com/hatun-atila/kadin-renkli-cesitli-ayakabali-oversize-gomlek-p-302030007?boutiqueId=61&merchantId=588160&boutiqueId=614790&merchantId=968,460,0,0
1673274047677,2615,trendyolChoose,200,OK,Thread Group 1-42,text,true,,65269,655,13,13,https://www.trendyol.com/epavm/yuz-jileti-ve-kas-usturasi-kadin-jileti-epilasyon-3-lu-p-95031839?boutiqueId=61&merchantId=352515&boutiqueId=614790&merchantId=968,1307,0,0
1673274049755,672,trendyolChoose,200,OK,Thread Group 1-29,text,true,,62261,622,13,13,https://www.trendyol.com/omix/x700-8-8-256gb-grafit-p-346567011?boutiqueId=61&merchantId=551431&boutiqueId=614790&merchantId=968,373,0,0
1673274049963,497,trendyolChoose,200,OK,Thread Group 1-9,text,true,,60294,680,12,12,https://www.trendyol.com/ozdilek/mickey-mouse-enjoy-disney-lisansli-cocuk-havlu-bornoz-seti-kirmizi-7-8-yas-p-109917953?boutiqueId=615869&merchantId=4593&boutiqueId=614790&merchantId=968,307,0,0
1673274049480,1044,trendyolMainPage,200,OK,Thread Group 1-1,text,true,,62120,435,11,11,https://www.trendyol.com/,621,0,0
1673274049922,706,trendyolSearch,200,OK,Thread Group 1-21,text,true,,52107,563,11,11,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,351,0,0
1673274050142,547,trendyolChoose,200,OK,Thread Group 1-16,text,true,,71794,686,11,11,https://www.trendyol.com/samsung/galaxy-tab-s6-lite-sm-p610-64gb-10-4-dag-grisi-tablet-samsung-turkiye-garantili-p-39601687?boutiqueId=618568&merchantId=200893&boutiqueId=614790&merchantId=968,336,0,0
1673274049745,949,trendyolChoose,200,OK,Thread Group 1-22,text,true,,65695,695,11,11,https://www.trendyol.com/samsung/galaxy-tab-a8-wifi-3-gb-ram-32-gb-hafiza-gumus-tablet-sm-x200-samsung-turkiye-garantili-p-225452029?boutiqueId=618568&merchantId=200893&boutiqueId=614790&merchantId=968,495,0,0
1673274049632,1114,trendyolSearch,200,OK,Thread Group 1-45,text,true,,64142,527,9,9,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,532,0,0
1673274049608,1173,trendyolSearch,200,OK,Thread Group 1-8,text,true,,67315,533,9,9,https://www.trendyol.com/sr?q=kozmetik&qt=kozmetik&st=kozmetik&os=1,461,0,0
1673274050230,567,trendyolChoose,200,OK,Thread Group 1-48,text,true,,59792,657,9,9,https://www.trendyol.com/ozdilek/princess-time-disney-lisansli-cocuk-havlu-bornoz-seti-p-235931556?boutiqueId=61&merchantId=120594&boutiqueId=614790&merchantId=968,307,0,0
1673274049879,1059,trendyolMainPage,200,OK,Thread Group 1-35,text,true,,62141,435,8,8,https://www.trendyol.com/,539,0,0
1673274050278,742,trendyolChoose,200,OK,Thread Group 1-11,text,true,,63495,671,8,8,https://www.trendyol.com/zeiron/sx75-i7-860-8gb-240gb-ssd-4gb-gt730-24-oyuncu-masaustu-bilgisayar-p-51720096?boutiqueId=618590&merchantId=127037&boutiqueId=614790&merchantId=968,366,0,0
1673274050270,762,trendyolChoose,200,OK,Thread Group 1-6,text,true,,63868,655,7,7,https://www.trendyol.com/boom-butter/herbal-science-boom-butter-sac-bakim-yagi-190-ml-p-32408260?boutiqueId=61&merchantId=104907&boutiqueId=614790&merchantId=968,361,0,0
